Geo Point;Geo Shape;INSEE;commune;gml_id;GID;IDENT;TYPE;NOM;ETAT;NBPLACES;NBVELOS;NBELEC;NBCLASSIQ;CDATE;MDATE;code_commune;GEOM_O
44.83803, -0.58437;"{""coordinates"": [-0.58437, 44.83803], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.1;1;1;VLS;Meriadeck;CONNECTEE;27;6;4;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83784, -0.59028;"{""coordinates"": [-0.59028, 44.83784], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.2;2;2;VLS;St Bruno;CONNECTEE;11;9;3;6;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.840813, -0.593233;"{""coordinates"": [-0.593233, 44.840813], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.3;3;3;VLS;Piscine Judaique;CONNECTEE;17;9;9;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84221, -0.58482;"{""coordinates"": [-0.58482, 44.84221], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.4;4;4;VLS;St Seurin;CONNECTEE;4;16;12;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.840712, -0.581124;"{""coordinates"": [-0.581124, 44.840712], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.5;5;5;VLS;Place Gambetta;CONNECTEE;17;23;12;11;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83779, -0.58166;"{""coordinates"": [-0.58166, 44.83779], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.6;6;6;VLS;Square Andre Lhote;CONNECTEE;29;9;7;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83594, -0.58211;"{""coordinates"": [-0.58211, 44.83594], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.7;7;7;VLS;Palais de Justice;DECONNECTEE;9;9;6;3;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83176, -0.59868;"{""coordinates"": [-0.59868, 44.83176], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.9;9;10;VLS;Stade Chaban Delmas;CONNECTEE;10;12;8;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84166, -0.5997;"{""coordinates"": [-0.5997, 44.84166], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.10;10;11;VLS;Cite Administrative;CONNECTEE;16;14;7;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85115, -0.60861;"{""coordinates"": [-0.60861, 44.85115], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.11;11;12;VLS;Grand Lebrun;CONNECTEE;11;4;3;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
