Geo Point;Geo Shape;insee;ident;siret;infor;adresse;exploit;th_heur;th_nuit;ta_moivel;th_quar;th_10;np_pmr;ta_type;ta_nres7j;ta_titul;libres;np_veltot;np_2rele;np_hgsup;np_stlav;np_covoit;prepaye;nb_niv;th_4;ta_ntitul;th_3;th_2;th_24;gabari_max;mdate;url;np_vle;np_fourr;th_demi;secteur;np_global;np_velec;gid;gabari_std;titul;propr;np_mobalt;ta_handi;np_hginf;connecte;np_pr;etat;nom;total;typgest;type;an_serv;ta_resmoi;np_2rmot;cdate;np_total;tv_1h;ta_moimot
44.9446852, -0.6181408;"{""coordinates"": [-0.6181408, 44.9446852], ""type"": ""Point""}";33312;CUBPK96;243 300 316 00011;;Rue de la Fraternité 33290 Parempuyre;BORDEAUX_METROPOLE;0.0;0.0;0.0;0.0;0.0;4;GRATUIT;0.0;;;12;0;0;0;10;0.0;0;0.0;;0.0;0.0;0.0;2.2;2023-02-22T12:14:07+01:00;;2;0;0.0;PERIPHERIE;151;0;603;2.2;BORDEAUX_METROPOLE;BORDEAUX_METROPOLE;0;GRATUIT;0;0;0;OUVERT;Gare De Parempuyre;;AUTRE;SURFACE;2009;0.0;0;2020-01-10T15:43:55+01:00;151;0.0;0.0
44.8918038, -0.669668;"{""coordinates"": [-0.669668, 44.8918038], ""type"": ""Point""}";33162;CUBPK97;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL. 476 places ouvertes à mi2023 sur 622 au total;Avenue du Taillan-Médoc 33320 Eysines;KEOLIS;3.5;;;3.5;3.5;12;PAYANT_TARIF_PARC_RELAIS;;0.0;416;24;0;0;0;0;0.0;4;3.5;3.5;3.5;3.5;;1.9000000000000001;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;20;0;3.5;PERIPHERIE;622;0;623;2.9;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;622;LIBRE;Parc-Relais Cantinolle;476;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2020;;17;2020-03-02T16:09:08+01:00;622;0.0;
44.8742948, -0.6270837;"{""coordinates"": [-0.6270837, 44.8742948], ""type"": ""Point""}";33069;CUBPK98;80822705200012;4.5€ conducteur seul et 4€ pour 2 à 5 personnes dans VL;Avenue de l'Hippodrome 33320 Eysines;KEOLIS;4.5;;;4.5;4.5;7;PAYANT_TARIF_PARC_RELAIS;;0.0;240;32;0;0;0;0;0.0;1;4.5;4.5;4.5;4.5;;1.9000000000000001;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;5;0;4.5;PERIPHERIE;251;0;624;1.9000000000000001;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;251;LIBRE;Parc-Relais De L'Hippodrome;250;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2020;;0;2020-03-02T16:16:49+01:00;251;0.0;
44.9189434, -0.6220381;"{""coordinates"": [-0.6220381, 44.9189434], ""type"": ""Point""}";33075;CUBPK76;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Jean Duvert 33290 Blanquefort;KEOLIS;4.5;;;4.5;4.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;172;0;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.1;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;4;0;4.5;PERIPHERIE;206;0;214;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;206;LIBRE;Parc-Relais Gare De Blanquefort;206;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2016;;0;2018-06-01T02:00:00+02:00;206;0.0;
44.8310288, -0.5718999;"{""coordinates"": [-0.5718999, 44.8310288], ""type"": ""Point""}";33063;CUBPK29;453 335 069 00010;Vélos: 35€/an ou 5€/mois;Place de la Victoire 33000 Bordeaux;METPARK;3.2;6.0;5.0;0.8;20.0;10;PAYANT_TARIF_HORAIRE;110.0;;235;60;0;0;0;0;0.0;3;11.200000000000001;;8.8;6.4;20.0;1.8;2023-09-17T15:01:08+02:00;https://www.mtpk.fr/;2;0;1.6;HYPER_CENTRE;469;0;216;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Victoire;467;REGIE_AUTONOME;ENTERRE;1984;70.0;10;2018-06-01T02:00:00+02:00;469;2.5;45.0
44.8391646, -0.5839712;"{""coordinates"": [-0.5839712, 44.8391646], ""type"": ""Point""}";33063;CUBPK30;453 335 069 00010;"Vélos: 35€/an ou 5€/mois; 2h gratuite clients Centre commercial quand il est ouvert";Rue Claude Bonnier 33000 Bordeaux;METPARK;2.8000000000000003;6.0;5.0;0.7000000000000001;20.0;26;PAYANT_TARIF_HORAIRE;125.0;;1055;32;0;0;5;0;0.0;5;10.4;;8.0;5.6000000000000005;20.0;1.8;2023-09-17T15:01:21+02:00;https://www.mtpk.fr/;19;0;1.4000000000000001;HYPER_CENTRE;1287;0;220;1.8;METPARK;BORDEAUX_METROPOLE;3;NORMAL_PAYANT;0;1;0;LIBRE;Centre Commercial Meriadeck;1263;REGIE_AUTONOME;MIXTE;1980;65.0;38;2018-06-01T02:00:00+02:00;1287;2.5;44.0
44.8389894, -0.5720891;"{""coordinates"": [-0.5720891, 44.8389894], ""type"": ""Point""}";33063;CUBPK06;320 229 644 05241;;Place Camille Jullian - 33000 BORDEAUX;INDIGO_PARK;3.1;8.2;;1.2;20.400000000000002;7;PAYANT_TARIF_HORAIRE;164.0;;159;0;0;0;0;0;0.0;4;10.5;;8.3;6.6000000000000005;28.6;1.9000000000000001;2023-09-17T15:01:20+02:00;https://fr.parkindigo.com/parking/camille-jullian-33001400;0;0;2.4;HYPER_CENTRE;338;0;224;1.9000000000000001;INDIGO_CENTRAL_PARCS;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Camille Jullian;320;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;1991;128.0;5;2018-06-01T02:00:00+02:00;338;2.5;62.0
44.8428111, -0.5774475;"{""coordinates"": [-0.5774475, 44.8428111], ""type"": ""Point""}";33063;CUBPK07;453 335 069 00010;;Place des Grands Hommes- 33000 BORDEAUX;METPARK;3.2;6.0;;0.8;20.0;10;PAYANT_TARIF_HORAIRE;125.0;;261;0;0;0;2;0;0.0;6;11.200000000000001;;8.8;6.4;20.0;1.9000000000000001;2023-09-17T15:01:12+02:00;https://www.mtpk.fr/parkings/parking-grands-hommes/;0;0;1.6;HYPER_CENTRE;415;0;226;1.9000000000000001;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Grands Hommes;405;REGIE_AUTONOME;ENTERRE;1989;;0;2018-06-01T02:00:00+02:00;415;2.5;
44.8245206, -0.5661676;"{""coordinates"": [-0.5661676, 44.8245206], ""type"": ""Point""}";33063;CUBPK75;453 335 069 00010;Résidents seulement;120 Rue de Bègles 33800 Bordeaux;METPARK;;;;;;2;PAYANT_RESERVE_ABONNES;92.0;;;0;0;0;0;0;0.0;1;;;;;;1.8;2023-02-22T12:14:07+01:00;https://www.mtpk.fr/;0;0;;CENTRE;63;0;252;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;0;0;OUVERT;120 Rue De Begles;;REGIE_AUTONOME;ENTERRE;2014;;0;2018-06-01T02:00:00+02:00;63;1.8;
44.8554013, -0.5956902;"{""coordinates"": [-0.5956902, 44.8554013], ""type"": ""Point""}";33069;CUBPK38;453 335 069 00010;"ancien nom; BARRIERE DU MEDOC";Avenue de la Libération 33110 Le Bouscat;METPARK;2.4;3.0;;0.6;8.0;3;PAYANT_TARIF_HORAIRE;64.0;;46;0;0;0;0;0;0.0;2;8.0;;6.4;4.4;8.0;1.8;2023-09-17T15:01:13+02:00;https://www.mtpk.fr/;0;0;1.2;PERIPHERIE;138;0;257;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Liberation;136;REGIE_AUTONOME;ENTERRE;1974;43.0;0;2018-06-01T02:00:00+02:00;138;1.8;27.0
